t,q,qdot,qddot
2.09,5.11915,1.69058,-1.04889
2.1,5.136,1.68,-1.06667
2.11,5.15275,1.66924,-1.08444
2.12,5.16938,1.65831,-1.10222
2.13,5.18591,1.6472,-1.12
2.14,5.20233,1.63591,-1.13778
2.15,5.21863,1.62444,-1.15556
2.16,5.23482,1.6128,-1.17333
2.17,5.25089,1.60098,-1.19111
2.18,5.26683,1.58898,-1.20889
2.19,5.28266,1.5768,-1.22667
2.2,5.29837,1.56444,-1.24444
2.21,5.31395,1.55191,-1.26222
2.22,5.32941,1.5392,-1.28
2.23,5.34474,1.52631,-1.29778
2.24,5.35993,1.51324,-1.31556
2.25,5.375,1.5,-1.33333
2.26,5.38993,1.48658,-1.35111
2.27,5.40473,1.47298,-1.36889
2.28,5.41939,1.4592,-1.38667
2.29,5.43391,1.44524,-1.40444
2.3,5.4483,1.43111,-1.42222
2.31,5.46254,1.4168,-1.44
2.32,5.47663,1.40231,-1.45778
2.33,5.49058,1.38764,-1.47556
2.34,5.50438,1.3728,-1.49333
2.35,5.51804,1.35778,-1.51111
2.36,5.53154,1.34258,-1.52889
2.37,5.54489,1.3272,-1.54667
2.38,5.55808,1.31164,-1.56444
2.39,5.57112,1.29591,-1.58222
2.4,5.584,1.28,-1.6
2.41,5.59672,1.26391,-1.61778
2.42,5.60928,1.24764,-1.63556
2.43,5.62167,1.2312,-1.65333
2.44,5.6339,1.21458,-1.67111
2.45,5.64596,1.19778,-1.68889
2.46,5.65786,1.1808,-1.70667
2.47,5.66958,1.16364,-1.72444
2.48,5.68113,1.14631,-1.74222
2.49,5.6925,1.1288,-1.76
2.5,5.7037,1.11111,-1.77778
2.51,5.71473,1.09324,-1.79556
2.52,5.72557,1.0752,-1.81333
2.53,5.73623,1.05698,-1.83111
2.54,5.74671,1.03858,-1.84889
2.55,5.757,1.02,-1.86667
2.56,5.76711,1.00124,-1.88444
2.57,5.77702,0.982311,-1.90222
2.58,5.78675,0.9632,-1.92
2.59,5.79629,0.943911,-1.93778
2.6,5.80563,0.924444,-1.95556
2.61,5.81478,0.9048,-1.97333
2.62,5.82373,0.884978,-1.99111
2.63,5.83247,0.864978,-2.00889
2.64,5.84102,0.8448,-2.02667
2.65,5.84937,0.824444,-2.04444
2.66,5.85751,0.803911,-2.06222
2.67,5.86545,0.7832,-2.08
2.68,5.87318,0.762311,-2.09778
2.69,5.88069,0.741244,-2.11556
2.7,5.888,0.72,-2.13333
2.71,5.89509,0.698578,-2.15111
2.72,5.90197,0.676978,-2.16889
2.73,5.90863,0.6552,-2.18667
2.74,5.91507,0.633244,-2.20444
2.75,5.9213,0.611111,-2.22222
2.76,5.9273,0.5888,-2.24
2.77,5.93307,0.566311,-2.25778
2.78,5.93862,0.543644,-2.27556
2.79,5.94394,0.5208,-2.29333
2.8,5.94904,0.497778,-2.31111
2.81,5.9539,0.474578,-2.32889
2.82,5.95853,0.4512,-2.34667
2.83,5.96292,0.427644,-2.36444
2.84,5.96708,0.403911,-2.38222
2.85,5.971,0.38,-2.4
2.86,5.97468,0.355911,-2.41778
2.87,5.97812,0.331644,-2.43556
2.88,5.98131,0.3072,-2.45333
2.89,5.98426,0.282578,-2.47111
2.9,5.98696,0.257778,-2.48889
2.91,5.98942,0.2328,-2.50667
2.92,5.99162,0.207644,-2.52444
2.93,5.99357,0.182311,-2.54222
2.94,5.99526,0.1568,-2.56
2.95,5.9967,0.131111,-2.57778
2.96,5.99789,0.105244,-2.59556
2.97,5.99881,0.0792,-2.61333
2.98,5.99947,0.0529778,-2.63111
2.99,5.99987,0.0265778,-2.64889
3,6,5.37348e-14,-2.66667
